,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARACAJÚ,BELÉM,BELO HORIZONTE,BOA VISTA,BRASÍLIA,CAMPINAS,CAMPO GRANDE,CAXIAS DO SUL,CUIABÁ,CURITIBA,FEIRA DE SANTANA,FLORIANÓPOLIS,FORTALEZA,GOIÂNIA,JOÃO PESSOA,JOINVILLE,JUIZ DE FORA,LONDRINA,MACEIÓ,MANAUS,NATAL,PALMAS,PELOTAS,PORTO ALEGRE,PORTO VELHO,RECIFE,RIBEIRÃO PRETO,RIO BRANCO,RIO DE JANEIRO,SALVADOR,SANTOS,S.J.DOS CAMPOS,SÃO LUÍS,SÃO PAULO,TERESINA,UBERLÂNDIA,VITÓRIA
CORUMBÁ,3161,3339,1850,4233,1531,1409,403,1922,1091,1388,2849,1695,3804,1332,3754,1525,1909,1012,3437,3448,3932,2200,2178,1915,2547,3655,1327,3081,1841,2966,1483,1504,3376,1411,3308,1291,2289
CRICIÚMA,3078,3672,1487,5314,1859,959,1484,431,2172,486,2752,202,4024,1679,3671,202,1407,872,3354,4529,3848,2522,567,291,3628,3561,1174,4162,1330,2868,963,993,3723,891,3636,1435,1783
CUIABÁ,2773,2941,1594,3142,1133,1523,694,2213,,1679,2451,1986,3406,934,3366,1816,1836,1303,3049,2357,3543,1784,2469,2206,1456,3255,1303,1990,2017,2566,1686,1689,2978,1614,2910,1048,2119
CURITIBA,2595,3193,1004,4821,1366,476,991,584,1679,,2269,300,3541,1186,3188,130,914,379,2871,4036,3365,2036,974,711,3135,3078,681,3669,852,2385,480,515,3230,408,3143,942,1300
DOURADOS,3032,3235,1449,4054,1352,1008,224,1288,912,907,2710,1214,3625,1153,3625,1044,1485,611,3308,3269,3802,2009,1557,1294,2368,3515,906,2902,1503,2826,1078,1103,3272,1006,3129,1060,1884
FEIRA DE SANTANA,322,1984,1256,5678,1415,1866,2537,2847,2539,2269,,2566,1273,1612,3485,2396,1396,2262,598,4893,1092,2389,3237,2974,3992,805,1784,4526,1533,116,1918,1764,1483,1846,1047,1816,1124
FLORIANÓPOLIS,2892,3500,1301,5128,1673,773,1298,478,1986,300,2566,,3838,1493,3485,180,1221,686,3168,4443,3662,2336,739,476,3442,3375,988,3976,1144,2682,777,807,3537,705,3450,1249,1597
FORTALEZA,1183,1611,2528,6548,2208,3133,3407,4115,3406,3541,1273,3838,,2482,688,3668,2668,3356,1075,5763,537,2035,4505,4242,4862,800,2978,5396,2805,1389,3199,3036,1070,3127,634,2707,2397
FOZ DO IGUAÇÚ,3089,3381,1508,4606,1573,1045,776,980,1464,637,2769,944,3846,1374,3682,774,1543,530,3365,3821,3859,2298,1249,986,2920,3572,985,3454,1472,2885,1119,1138,3418,1047,3350,1206,1925
FRANCA,2041,2609,460,4432,676,310,1022,1287,1290,753,1720,1080,2949,602,2634,890,656,570,2317,3647,2811,1462,1687,1424,2746,2524,92,3280,797,1836,473,480,2646,401,2453,252,988
GUARANHUNS,300,1914,1860,6282,1934,2464,3046,3451,3055,2877,604,3174,838,2131,319,3004,2000,2866,258,5497,496,1857,3841,3578,4511,209,2388,5046,2137,638,2531,2368,1527,2459,977,2148,1690
GOIÂNIA,1849,2017,906,4076,209,835,935,1720,934,1186,1528,1493,2482,,2442,1323,1174,884,2125,3291,2618,874,2110,1847,2390,2332,615,2924,1338,1643,998,1005,2054,926,1986,360,1428
GOV. VALADARES,1260,2921,324,5064,1041,931,1781,1915,1922,1337,938,1634,2210,1231,1853,1464,464,1330,1536,4279,2030,2014,2303,2040,3378,1743,851,3912,601,1054,986,832,2420,914,1984,884,439
GUARATINGUETÁ,2004,3088,556,4913,1167,254,1188,1169,1769,595,1683,892,2954,1085,2597,717,333,701,2280,4128,2774,1959,1559,1296,3225,2487,488,3759,264,1798,249,86,3129,177,2731,749,709
ILHÉUS,690,,,,1378,,,,,,384,,,1587,,,,,,,,,,,,1173,,,,462,,,,,,,
IMPERATRIZ,1909,609,2231,5484,1521,2243,2343,3128,2342,2594,1814,2901,1401,1418,1991,2731,2501,2292,2003,4699,1938,624,3518,3255,3789,1904,2023,4332,2657,1930,2406,2413,636,2334,777,1768,2747
IPATINGA,1361,3019,217,4958,935,828,1675,1807,1816,1231,1040,1528,2312,1125,1955,1358,433,1224,1638,4173,2132,1908,2197,1934,3272,1845,745,3806,661,1156,880,833,2522,808,2086,776,401
ITABIRA,1463,2918,99,4839,816,704,1556,1688,1697,1112,1142,1409,2414,1006,2056,1239,368,1105,1739,4054,2233,1789,2078,1815,3156,1946,626,3690,542,1258,761,714,2624,689,2189,659,465
ITABUNA,660,2360,1104,5849,1283,1710,2566,2625,2436,2051,376,2348,1646,1492,1253,2178,1249,2110,936,5064,1430,1567,3015,2752,3892,1143,1636,4426,1272,420,1705,1542,1859,1633,1423,1393,754
ITAJAÍ,2804,3412,1213,5040,1585,685,1210,526,1898,212,2478,100,3750,1405,3397,92,1128,598,3080,4255,3574,2248,823,560,3354,3287,900,3888,1056,2594,689,709,3449,617,3362,1161,1509
ITAPARICA,356,,,,1620,,,,,,201,,,1828,,,,,,,,,,,,839,,,,,,,,,,,
ITUMBIARA,2039,2217,702,4040,409,643,848,1516,898,982,1727,1289,2682,210,2632,1119,945,680,2315,3255,2809,1060,1906,1643,2354,2522,411,2888,1125,1843,794,815,2254,722,2186,156,1227
JOÃO PESSOA,611,2161,2171,6539,2245,2775,3357,3762,3366,3188,915,3485,688,2442,,3315,2311,3177,395,5808,185,2253,4152,3889,4822,120,2699,5356,2448,949,2842,2679,1660,2770,1224,2430,2001
JOINVILLE,2722,3330,1131,4958,1503,603,1128,606,1816,130,2396,180,3668,1323,3315,,1046,516,2998,4173,3492,2189,903,640,3272,3205,818,3806,974,2512,607,637,3367,535,3280,1079,1427
JUAZEIRO DO NORTE,702,1530,2047,6273,2010,2657,3132,3638,3131,3060,792,3357,528,2207,631,3187,2187,3085,757,5488,648,1933,4028,3765,4587,658,2575,5121,2324,866,2715,2555,1029,2643,593,2348,1916
JUIZ DE FORA,1718,3100,272,4978,992,541,1512,1498,1836,914,1396,1221,2668,1174,2311,1046,,1024,1994,4193,2488,1968,1888,1625,3292,2201,676,3826,184,1512,578,415,2874,506,2438,798,519
LAGES,2959,3517,1368,5181,1690,847,1315,226,2003,374,2633,213,3905,1510,3552,396,1288,703,3235,4360,3729,2358,616,353,3459,3442,1005,3993,1216,2753,844,879,3554,772,3467,1266,1664
LIMEIRA,2151,2783,570,4608,862,65,954,1107,1464,533,1830,830,3135,776,2744,680,537,489,2427,3823,2922,1668,1497,1234,2920,2634,179,3454,568,1946,228,231,2820,156,2639,440,1016
LONDRINA,2584,2891,1002,4445,1083,526,615,913,1303,379,2262,686,3356,884,3177,516,1024,,2860,3660,3354,1746,1303,1040,2759,3067,478,3293,953,2378,600,621,2928,528,2860,716,1406
MACEIÓ,294,2173,1854,6276,1928,2458,3040,3445,3049,2871,598,3168,1075,2105,395,2998,1994,2860,,5491,572,1851,3835,3572,4505,285,2382,5039,2131,632,2525,2362,1672,2453,1236,2143,1684
MANAUS,5215,5298,3951,785,3490,3880,3051,4570,2357,4036,4893,4343,5763,3291,5808,4173,4193,3660,5491,,5985,4141,4826,4563,901,5698,3660,1445,4374,5009,4043,4046,5335,3971,5267,3405,4476
MARÍLIA,2388,2695,805,4484,887,367,654,1038,1342,504,2066,811,3160,688,2981,641,841,202,2664,3699,3158,1550,1428,1165,2798,2871,282,3332,862,2182,515,509,2732,443,2664,520,1291
MARINGÁ,2678,2970,1097,4471,1162,634,641,954,1329,428,2358,735,3435,963,3271,565,1132,114,2954,3686,3448,1876,1345,1082,2785,3161,574,3319,1061,2486,708,729,3007,636,2939,795,1514
MONTES CLAROS,1328,2796,418,4819,694,1017,1523,1996,1677,1415,1006,1700,2278,891,1921,1558,694,1345,1604,4034,2098,1416,2386,2123,3133,1811,910,3667,850,1122,1074,1022,2488,1002,2052,639,943
MOSSORÓ,878,1831,2438,6617,2239,3042,3391,4029,3390,3455,1182,3752,260,2476,428,3582,2578,3441,815,5832,277,2162,4419,4156,4846,540,2966,5380,2715,1216,3109,2946,1330,3037,894,2702,2268
NATAL,788,2108,2348,6770,2422,2952,3537,3939,3543,3365,1092,3662,537,2619,185,3492,2488,3354,572,5985,,2345,4329,4066,4998,297,2876,5533,2625,1126,3019,2859,1607,2947,1171,2636,2178
